  Mnemonic MSID                                                      Description                    Units
  IUFOCPOS I075          UVIS Corrector Focus Corrected Position (from IUFOCLVT)   Corrected LVDT Reading
   IMEB1ST I076                                Main Electronics Box 1 Side Wall           Temperature (C)
  IM1CONDT I077                       Main Electronics Box 1 Condensor Radiator           Temperature (C)
  IWINHTP1 I080                                  UVIS Window Heater Power Side 1                        -
  IWINHTP2 I081                                  UVIS Window Heater Power Side 2                        -
  IUVTECI2 I082                        UVIS Thermo-Electric Cooler Input Current              Current (A)
  ICETECP1 I083            IR Cold Enclosure Thermo-Electric Cooler Relay Side 1             Relay Status
    I5VOP2 I084                             Operate Bus +5VDC Regulator (Side 2)              Voltage (V)
  IHOLDON2 I085                           Low Voltage Power Supply Hold On Power             Relay Status
    I5VOP1 I086                             Operate Bus +5VDC Regulator (Side 1)              Voltage (V)
   I28VIN2 I087                Spacecraft +28V Input to Low Voltage Power Supply              Voltage (V)
  IOPERON2 I088                                 Low Voltage Power Supply Operate             Relay Status
   I28VIN1 I089       Spacecraft +28V Input to Low Voltage Power Supply (Side 1)              Voltage (V)
  ICETECP2 I090            IR Cold Enclosure Thermo-Electric Cooler Relay Side 2             Relay Status
  IHOLDON1 I091                    Low Voltage Power Supply Hold On Power Side 1             Relay Status
  ICEBPWR1 I092                            UVIS CCD Electronics Box Power Side 1             Relay Status
  IOPERON1 I093                          Low Voltage Power Supply Operate Side 1             Relay Status
  ITOTALI1 I094            Total Low Voltage Power Supply Input Current (Side 1)              Current (A)
  IUVTECI1 I095               UVIS Thermo-Electric Cooler Input Current (Side 1)              Current (A)
  ICEBPWR2 I096                                   UVIS CCD Electronics Box Power             Relay Status
  ITOTALI2 I097                     Total Low Voltage Power Supply Input Current              Current (A)
   I5VHLD2 I098                                                   Hold Bus +5VDC              Voltage (V)
  I15VHLD2 I099                                                  Hold Bus +15VDC              Voltage (V)
  I15VHLD1 I100                                         Hold Bus +15VDC (Side 1)              Voltage (V)
   I5VHLD1 I101                                          Hold Bus +5VDC (Side 1)              Voltage (V)
  IM15VHD2 I102                                                  Hold Bus -15VDC              Voltage (V)
  IM15VHD1 I103                                         Hold Bus -15VDC (Side 1)              Voltage (V)
  ILVPS2ET I104                             Low Voltage Power Supply 2 End Wall           Temperature (C)
  ILVPS1ET I105                             Low Voltage Power Supply 1 End Wall           Temperature (C)
  IDRTCET1 I106                     IR TECFIRE (CE) Heat Pipe Condensor (Side 1)              Delta-T (C)
  ITCESET1 I107                     IR TEC Cold Enclosure (CE) Setpoint (Side 1) Setpoint Temperature (C)
    ICPSET I108                        Optical Bench Cold Plate Heater Setpoint           Temperature (C)
  IUSHSET2 I109                                   UVIS Shield Current Setpoint 2     Setpoint Current (A)
   IM15VOP I110                                     Operate Bus -15VDC Regulator              Voltage (V)
    IREST1 I111                  VHCP Evaporator Saddle Heater Setpoint (Side 1)          Temperature (C)
    IREST2 I112                           VHCP Evaporator Saddle Heater Setpoint          Temperature (C)
   IRESSET I113         Variable Conductance Heat Pipe Reservoir Heater Setpoint          Temperature (C)
  ILVPS4T2 I114                                Low Voltage Power Supply Board 4           Temperature (C)
    I15VOP I115                                     Operate Bus +15VDC Regulator              Voltage (V)
  ITDBSET1 I116                  IR TECFIRE Detector Base (DB) Setpoint (Side 1) Setpoint Temperature (C)
  IDBTECI2 I117                  IR Detector Base Thermo-Electric Cooler Current              Current (A)
  IDBTECI1 I118         IR Detector Base Thermo-Electric Cooler Current (Side 1)              Current (A)
  IRDETMP1 I119                                             IR Detector (Side 1)          Temperature (C)
  ICETECI2 I120                          TECFIRE Cold Enclosure (CE) TEC Current              Current (A)
  ICETECI1 I121                 TECFIRE Cold Enclosure (CE) TEC Current (Side 1)              Current (A)
   IRTECI2 I122             IR Detector TEC Current (Low Voltage Power Supply 2)              Current (A)
     I5VOP I123                                      Operate Bus +5VDC Regulator              Voltage (V)
  IRDETMP2 I124                                                     IR Detector           Temperature (C)
   IRTECI1 I125             IR Detector TEC Current (Low Voltage Power Supply 1)              Current (A)
  IRTCSET1 I126                                 IR 6-Stage TEC Setpoint (Side 1)          Temperature (C)
  IDEBPWR2 I127                IR Detector Electronics Board Power Status Side 2             Relay Status
  IUDETMP2 I128                                                   UVIS Detector           Temperature (C)
  IUDETMP1 I129                                           UVIS Detector (Side 1)          Temperature (C)
  IMECPWR2 I130                         Low Voltage Power Supply Mechanism Power             Relay Status
  IMECPWR1 I131                  Low Voltage Power Supply Mechanism Power Side 1             Relay Status
  ILMPPWR2 I132                              Low Voltage Power Supply Lamp Power             Relay Status
  ITDBSET2 I133                           IR TECFIRE Detector Base (DB) Setpoint Setpoint Temperature (C)
  ILMPPWR1 I134                       Low Voltage Power Supply Lamp Power Side 1             Relay Status
  IUTCSET1 I135                                 UVIS Cold Side Setpoint (Side 1)          Temperature (C)
  IUTCSET2 I136                                         UVIS Cold Side Setpoint           Temperature (C)
  IRTCSET2 I137                                         IR 6-Stage TEC Setpoint           Temperature (C)
  IUTCPWR1 I138                      UVIS 4-Stage Thermo-Electric Cooler Power 1                        -
   IHCPWR2 I139                                             Heater Control Power             Relay Status
  IRCEHTP1 I140                                 IR Cold Enclosure Heater Power 1             Relay Status
  IDRTCET2 I141                              IR TECFIRE (CE) Heat Pipe Condensor              Delta-T (C)
   IRENCT2 I142                                          IR Cold Enclosure (CE)           Temperature (C)
   IRENSET I143                                 IR Cold Enclosure (CE) Setpoint           Temperature (C)
  IDRTDBT1 I144                     IR TECFIRE (DB) Heat Pipe Condensor (Side 1)          Temperature (C)
  ITCESET2 I145                              IR TEC Cold Enclosure (CE) Setpoint Setpoint Temperature (C)
   IRENCT1 I146                                  IR Cold Enclosure (CE) (Side 1)          Temperature (C)
  IRSHLDT2 I147                                                       IR Shield           Temperature (C)
  IRSHLDT1 I148                                               IR Shield (Side 1)          Temperature (C)
  IUTCPWR2 I149                      UVIS 4-Stage Thermo-Electric Cooler Power 2                        -
   IHCPWR1 I150                                      Heater Control Power Side 1             Relay Status
  IENHTON2 I151                                 IR Enclosure Heater Relay Side 2             Relay Status
   IWINSET I152                                     UVIS Window Heater Setpoint           Temperature (C)
  IDRTDBT2 I153                              IR TECFIRE (DB) Heat Pipe Condensor          Temperature (C)
  IRTCPWR1 I154                        IR 6-Stage Thermo-Electric Cooler Power 1             Relay Status
  ILVPS4T1 I155                        Low Voltage Power Supply Board 4 (Side 1)          Temperature (C)
  IRTCPWR2 I156                        IR 6-Stage Thermo-Electric Cooler Power 2             Relay Status
  IRCEHTP2 I157                                 IR Cold Enclosure Heater Power 2             Relay Status
   IRRAMPT I158                                         IR Ramp Setpoint Monitor          Temperature (C)
  IDEBPWR1 I159                IR Detector Electronics Board Power Status Side 1             Relay Status
  IUVWINT2 I160                                              UVIS Window Heater           Temperature (C)
  IANNPWR1 I161                                        Anneal Power Relay Side 1             Relay Status
  IUVWINT1 I162                                      UVIS Window Heater (Side 1)          Temperature (C)
  IANNPWR2 I163                                        Anneal Power Relay Side 2             Relay Status
  IENHTON1 I164                                 IR Enclosure Heater Relay Side 1             Relay Status
  ILVPS1ST I165                            Low Voltage Power Supply 1 Side Wall           Temperature (C)
  ILVPS2ST I166                            Low Voltage Power Supply 2 Side Wall           Temperature (C)
  IWNHTON1 I167                                     UVIS Window Heater On Side 1                        -
  IWNHTON2 I168                                     UVIS Window Heater On Side 2                        -
   ISHLDT1 I171                                             UVIS Shield (Side 1)          Temperature (C)
  ISHTECP2 I172                       UVIS Shield Thermo-Electric Cooler Power 2             Relay Status
  ISHTECI2 I173                       UVIS Shield Thermo-Electric Cooler Current              Current (A)
  ISHTECP1 I174                       UVIS Shield Thermo-Electric Cooler Power 1             Relay Status
  ISHTECI1 I175              UVIS Shield Thermo-Electric Cooler Current (Side 1)              Current (A)
  IUVHOUST I176                                                    UVIS Housing           Temperature (C)
  IDRUVCST I177                                  UVIS Radiator Condensor Saddle           Temperature (C)
  IUVDETMP I178                                        UVIS CCD Monitored by SES          Temperature (C)
  IUBINRAT I179                                           UVIS CCD Binning Ratio                        -
  IRREADCT I180                                                  IR Read Counter                   Counts
  IROBSCTR I181                                           IR Observation Counter                   Counts
  IRNREADS I182                                               IR Number Of Reads                    Reads
  IRHOUSET I201                                             IR Detector Housing           Temperature (C)
    ICEBST I202                             CCD Electronics Box (CEB) Side Wall           Temperature (C)
  IUOFFSTA I203                     UVIS Analog Signal Processing Chain Offset A              Voltage (V)
   IUS2AHI I204                                             UVIS Serial 2 A High              Voltage (V)
  IURGABLO I205                                           UVIS Reset Gate AB Low              Voltage (V)
   IUSWCLO I206                                          UVIS Summing Well C Low              Voltage (V)
   IUSWCHI I207                                         UVIS Summing Well C High              Voltage (V)
  IURGABHI I208                                          UVIS Reset Gate AB High              Voltage (V)
   IUSWALO I209                                          UVIS Summing Well A Low              Voltage (V)
   IUSWAHI I210                                         UVIS Summing Well A High              Voltage (V)
  IUOFFSTD I211                     UVIS Analog Signal Processing Chain Offset D              Voltage (V)
   IUSWDLO I212                                          UVIS Summing Well D Low              Voltage (V)
  IUOFFSTB I213                     UVIS Analog Signal Processing Chain Offset B              Voltage (V)
  IUS1CDHI I214                                            UVIS Serial 1 CD High              Voltage (V)
   IUASPCT I215              UVIS CCD Electronics Box ASPC Printed Wiring Board           Temperature (C)
   IUS3DLO I216                                              UVIS Serial 3 D Low              Voltage (V)
   IUS3DHI I217                                             UVIS Serial 3 D High              Voltage (V)
   IUS2DLO I218                                              UVIS Serial 2 D Low              Voltage (V)
   IUS2DHI I219                                             UVIS Serial 2 D High              Voltage (V)
  IUCBTIMT I220            UVIS CCD Electronics Box Timing Printed Wiring Board           Temperature (C)
  IUAS2P35 I221                UVIS Analog Signal Processing Chain Bias 2 +35VDC              Voltage (V)
   IUAS2P5 I222                 UVIS Analog Signal Processing Chain Bias 2 +5VDC              Voltage (V)
  IUAS2M15 I223                UVIS Analog Signal Processing Chain Bias 2 -15VDC              Voltage (V)
  IUOFFSTC I224                     UVIS Analog Signal Processing Chain Offset C              Voltage (V)
   IUS2BLO I225                                              UVIS Serial 2 B Low              Voltage (V)
  IUTGABHI I226                                       UVIS Transfer Gate AB High              Voltage (V)
  IUP3ABLO I227                                           UVIS Parallel 3 AB Low              Voltage (V)
  IUP3ABHI I228                                          UVIS Parallel 3 AB High              Voltage (V)
  IUP2ABLO I229                                           UVIS Parallel 2 AB Low              Voltage (V)
  IUTGABLO I230                                        UVIS Transfer Gate AB Low              Voltage (V)
  IUP2ABHI I231                                          UVIS Parallel 2 AB High              Voltage (V)
  IUP1ABLO I232                                           UVIS Parallel 1 AB Low              Voltage (V)
  IUP1ABHI I233                                          UVIS Parallel 1 AB High              Voltage (V)
   IUS2ALO I234                                              UVIS Serial 2 A Low              Voltage (V)
   IUS3BHI I235                                             UVIS Serial 3 B High              Voltage (V)
   IUCK2P5 I236                                               UVIS Clock 2 +5VDC              Voltage (V)
   IUS2BHI I237                                             UVIS Serial 2 B High              Voltage (V)
  IUS1ABLO I238                                             UVIS Serial 1 AB Low              Voltage (V)
  IUS1CDLO I239                                             UVIS Serial 1 CD Low              Voltage (V)
  IUS1ABHI I240                                            UVIS Serial 1 AB High              Voltage (V)
   IUSWBLO I241                                          UVIS Summing Well B Low              Voltage (V)
   IUSWBHI I242                                         UVIS Summing Well B High              Voltage (V)
   IUS3ALO I243                                              UVIS Serial 3 A Low              Voltage (V)
   IUS3AHI I244                                             UVIS Serial 3 A High              Voltage (V)
  IUCK2M15 I245                                              UVIS Clock 2 -15VDC              Voltage (V)
   IUS3BLO I246                                              UVIS Serial 3 B Low              Voltage (V)
   IUS2CLO I247                                              UVIS Serial 2 C Low              Voltage (V)
  IUAS1P35 I248                UVIS Analog Signal Processing Chain Bias 1 +35VDC              Voltage (V)
  IUCK1P15 I249                                              UVIS Clock 1 +15VDC              Voltage (V)
  IUAS2P15 I250                 UVIS Analog Signal Processing Chain Bias 2 +15DC              Voltage (V)
  IUP1CDLO I251                                           UVIS Parallel 1 CD Low              Voltage (V)
  IUP1CDHI I252                                          UVIS Parallel 1 CD High              Voltage (V)
   IUS3CLO I253                                              UVIS Serial 3 C Low              Voltage (V)
  IUP3CDLO I254                                           UVIS Parallel 3 CD Low              Voltage (V)
   IUCK1P5 I255                                               UVIS Clock 1 +5VDC              Voltage (V)
 IUClock1T I256                          UVIS Clock 1 CCD Electronics Box Board           Temperature (C)
  IUP3CDHI I257                                          UVIS Parallel 3 CD High              Voltage (V)
  IUP2CDLO I258                                           UVIS Parallel 2 CD Low              Voltage (V)
   IUOFDAB I259                                             UVIS Offset Drain AB              Voltage (V)
   IUOFDCD I260                                             UVIS Offset Drain CD              Voltage (V)
   IUSWDHI I261                                         UVIS Summing Well D High              Voltage (V)
  IURGCDHI I262                                          UVIS Reset Gate CD High              Voltage (V)
  IUP2CDHI I263                                          UVIS Parallel 2 CD High              Voltage (V)
  IUCK1M15 I264                                              UVIS Clock 1 -15VDC              Voltage (V)
   IUVDDCD I265                                                      UVIS Vdd CD              Voltage (V)
  IUAS1P15 I266                UVIS Analog Signal Processing Chain Bias 1 +15VDC              Voltage (V)
  IULGATCD I267                            UVIS CCD Electronics Box Last Gate CD              Voltage (V)
  IUCK2P15 I268                                              UVIS Clock 2 +15VDC              Voltage (V)
   IUS2CHI I269                                             UVIS Serial 2 C High              Voltage (V)
  IUAS1M15 I270                UVIS Analog Signal Processing Chain Bias 1 -15VDC              Voltage (V)
   IUAS1P5 I271                 UVIS Analog Signal Processing Chain Bias 1 +5VDC              Voltage (V)
   IUS3CHI I272                                             UVIS Serial 3 C High              Voltage (V)
   IUTG1P5 I273                                      UVIS Timing Generator 1 +5V              Voltage (V)
  IURGCDLO I274                                           UVIS Reset Gate CD Low              Voltage (V)
   IUVODCD I275                                           UVIS Voltage Out DI CD              Voltage (V)
 IUClock2T I276                          UVIS Clock 2 CCD Electronics Box Board           Temperature (C)
  IULGATAB I277                            UVIS CCD Electronics Box Last Gate AB              Voltage (V)
   IUVODAB I278                                           UVIS Voltage Out DI AB              Voltage (V)
   IUVDDAB I279                                                      UVIS Vdd AB              Voltage (V)
   IUTG2P5 I280                                      UVIS Timing Generator 2 +5V              Voltage (V)
  IUTGCDLO I281                                        UVIS Transfer Gate CD Low              Voltage (V)
  IUTGCDHI I282                                       UVIS Transfer Gate CD High              Voltage (V)
IClock2PWR I283                                          UVIS Clock Relay Side 2             Relay Status
    ICEBET I284                              CCD Electronics Box (CEB) End Wall           Temperature (C)
   ICEB35V I285                                              UVIS +35V Converter              Voltage (V)
  ICEBM15V I286                                              UVIS -15V Converter              Voltage (V)
   IENCEBT I287                       Enclosure Adjacent CCD Electronics Box +V2          Temperature (C)
  IASP2PWR I288                 UVIS Analog Signal Processing Chain Side 2 Relay             Relay Status
IClock1PWR I289                                          UVIS Clock Relay Side 1             Relay Status
  ICEBP15V I290                                              UVIS +15V Converter              Voltage (V)
    ICEB5V I291                                               UVIS +5V Converter                Power (W)
  IASP1PWR I292                 UVIS Analog Signal Processing Chain Side 1 Relay             Relay Status
    IDEBST I296                         IR Detector Electronics Board Side Wall           Temperature (C)
  IDRIRCST I297                                    IR Radiator Condensor Saddle           Temperature (C)
   IENDEBT I298                Enclosure Adjacent Detector Electronics Board -V2          Temperature (C)
  IDEBM15V I299                     IR Detector Electronics Board -15V Converter              Voltage (V)
    IDRIRT I300                           IR Detector Electronics Board Radiator          Temperature (C)
    IDEBET I301                             Detector Electronics Board End Wall           Temperature (C)
    IDEB5V I302                IR Detector Electronics Board +5V Converter Power              Voltage (V)
   IDEB15V I303               IR Detector Electronics Board +15V Converter Power              Voltage (V)
    IR3FB2 I304                                  IR Quadrants 3&4 Fixed Bias V 2              Voltage (V)
  IRDACREF I305                   IR Analog-to-Digital Converter (ADC) Reference              Voltage (V)
  IRBDACHI I306                   IR Analog-to-Digital Converter (ADC) Bias High              Voltage (V)
  IR34OFST I307          IR Quadrants 3&4 Signal Processing Chain Offset Removal              Voltage (V)
   IR1SM15 I308                                          IR Quadrants 1&2 -15VDC              Voltage (V)
     IR3VB I309                                          IR Quadrants 3&4 V Bias              Voltage (V)
  IRSPBTMP I310                          IR Signal Processing Board Temperature           Temperature (C)
   IR1FM14 I311                                          IR Quadrants 1&2 -14VDC              Voltage (V)
   IR1DP15 I312                            IR Quadrants 1&2 Detector Analog +15V              Voltage (V)
  IR1REFP5 I313                                           IR Quadrants 1&2 +5VDC              Voltage (V)
IR1ClockP5 I314                                IR Quadrant 1 Clock +5V Reference              Voltage (V)
  IR1DGBP5 I315                                        IR Quadrant 1 Digital +5V              Voltage (V)
   IR1SP15 I316                                          IR Quadrants 1&2 +15VDC              Voltage (V)
  IR1ANBP5 I317                     IR Quadrants 1&2 ADC +5V Applied To Detector              Voltage (V)
    IR3FB1 I318                                  IR Quadrants 3&4 Fixed Bias V 1              Voltage (V)
   IR1FP14 I319                                          IR Quadrants 1&2 +14VDC              Voltage (V)
  IR1DDP15 I320                              IR Quadrant 1 Detector Digital +15V              Voltage (V)
    IR1GND I321                                          IR Quadrants 1&2 Ground              Voltage (V)
     IR3M1 I322                                           IR Quadrants 3&4 -1VDC              Voltage (V)
    IR1FB1 I323                                  IR Quadrants 1&2 Fixed Bias V 1              Voltage (V)
    IR1FB2 I324                                  IR Quadrants 1&2 Fixed Bias V 2              Voltage (V)
     IR1VB I325                                          IR Quadrants 1&2 V Bias              Voltage (V)
     IR1M1 I326                                           IR Quadrants 1&2 -1VDC              Voltage (V)
  IR12OFST I327          IR Quadrants 1&2 Signal Processing Chain Offset Removal              Voltage (V)
  IR3ANBP5 I328                     IR Quadrants 3&4 ADC +5V Applied To Detector              Voltage (V)
    IR1TMP I329                                           IR Quadrants 1&2 Board          Temperature (C)
   IR3DP15 I330                            IR Quadrants 3&4 Detector Analog +15V              Voltage (V)
   IR3SP15 I331                                          IR Quadrants 3&4 +15VDC              Voltage (V)
  IRDACSPR I332                                                        Dac Spare                    Spare
  IRA2DM12 I333                      IR Analog-to-Digital Converter (ADC) -12VDC              Voltage (V)
  IRA2DP12 I334                      IR Analog-to-Digital Converter (ADC) +12VDC              Voltage (V)
   IR3SM15 I335                                          IR Quadrants 3&4 -15VDC              Voltage (V)
    IR3GND I336                                          IR Quadrants 3&4 Ground              Voltage (V)
  IR3DDP15 I337                           IR Quadrants 3&4 Detector Digital +15V              Voltage (V)
  IR3DGBP5 I338                                     IR Quadrants 3&4 Digital +5V              Voltage (V)
    IR3TMP I339                                           IR Quadrants 3&4 Board          Temperature (C)
   IR3FP14 I340                                          IR Quadrants 3&4 +14VDC              Voltage (V)
  IR3REFP5 I341                                           IR Quadrants 3&4 +5VDC              Voltage (V)
   IRANAP5 I342                                                  IR +5VDC Analog              Voltage (V)
    IRDP15 I343                                               IR Detector +15VDC              Voltage (V)
   IR1BUSY I344            IR Quadrant 1 Analog-to-Digital Converter Busy Status              Busy Status
   IR3BUSY I345                                      IR Quadrants 3&4 ADC Status                   Status
   IRDIGP5 I346                                                 IR +5VDC Digital              Voltage (V)
  IRADOFST I347              IR Analog-to-Digital Converter (ADC) -2.5VDC Offset              Voltage (V)
   IR3FM14 I348                                          IR Quadrants 3&4 -14VDC              Voltage (V)
IR3ClockP5 I349                                IR Quadrant 3 Clock +5V Reference              Voltage (V)
  IR1M15PW I350                                                 Relay_DEB_tlm_02             Relay Status
  IR1P15PW I351                                                 Relay_DEB_tlm_01             Relay Status
  IR3M15PW I352                                                 Relay_DEB_tlm_04             Relay Status
  IR3P15PW I353                                                 Relay_DEB_tlm_03             Relay Status
  IRPWRSTA I354                                  IR Control Section Power Status             Relay Status
  IREXPTYP I355                                                 IR Exposure Type                        -
  IRFIFPRC I356                                               IR Fifo Processing               Processing
  IREXPSTA I357                               IR Control Section Exposure Status                        -
  IRMONPIX I358                IR Monitor (Reference) Pixel Near Amp A (1, 1024)                       DN
  IIRTPADS I359                              IR Timer Pointer A/D Inhibit Status                        -
   ISHTECV I366                                  UVIS Shield TEC Voltage Monitor              Voltage (V)
  ISHUTTMP I367                                              UVIS Shutter Motor           Temperature (C)
   ISHSTAT I368                                    UVIS Shutter Mechanism Status                        -
  ISHUTOHT I369                                            UVIS Shutter Overheat                        -
  ISHCEBOC I370                                 UVIS Shutter CEB Shutter Command                        -
  ISHCSOVR I371                    UVIS Shutter Control Section Shutter Override                        -
  ISHRBPOS I372                                   UVIS Shutter Readback Position                 Position
  ISHCOMCL I373                           UVIS Shutter Motor Communication C Low                        -
  ISHAMPCT I374                                   UVIS Shutter Motor Amp Control                        -
   ISHCOMM I375                                   UVIS Shutter Motor Commutation              Commutation
   ISHCSOC I376                     UVIS Shutter Control Section Shutter Control                        -
  ISHCOMAL I377                           UVIS Shutter Motor Communication A Low                        -
   ISHENAB I378                                        UVIS Shutter Motor Enable                        -
   ISHLTCH I379                                          UVIS Shutter Latch Used                        -
  ISHUTOVR I380                                   UVIS Shutter Overheat Override                        -
  ISHCOMBH I381                          UVIS Shutter Motor Communication B High                        -
   ISHPLSB I382                    UVIS Shutter Prom Least Significant Bit (LSB)                        -
  ISHCOMAH I383                          UVIS Shutter Motor Communication A High                        -
  ISHCOMBL I384                           UVIS Shutter Motor Communication B Low                        -
  ISHCOMCH I385                          UVIS Shutter Motor Communication C High                        -
  ISHCMPOS I386                                    UVIS Shutter Command Position                 Position
  IUINNTMP I388                                      UVIS Corrector Inner Motor           Temperature (C)
  IUFOCTMP I389                                      UVIS Corrector Focus Motor           Temperature (C)
  IUOUTSPD I391                                       UVIS Outer Corrector Speed                    Speed
  IUFOCSPD I393                                       UVIS Focus Corrector Speed                    Speed
  IUINNSPD I394                                       UVIS Inner Corrector Speed                    Speed
  IUFOCHLD I395                                          UVIS Focus Hold Counter                   Counts
  IUINNHLD I396                                          UVIS Inner Hold Counter                   Counts
  IUCORSEL I397                                    UVIS Corrector Select Command                        -
  IUINNOHT I398                                    UVIS Corrector Inner Overheat                        -
  IRFOCDIR I399                                             IR Focus Stepmtr Dir                        -
  IROUTDIR I400                                             IR Outer Stepmtr Dir                        -
  IUINNDIR I401                    UVIS Corrector Inner Stepping Motor Direction                        -
  IUOUTDIR I402                                           UVIS Outer Stepmtr Dir                        -
  IUOUTOHT I403                                              UVIS Outer Overheat                        -
  IUFOCDIR I404                              UVIS Focus Stepping Motor Direction                        -
  IRINNDIR I405                                             IR Inner Stepmtr Dir                        -
  IUOUTHLD I406                                          UVIS Outer Hold Counter                   Counts
  IUFOCSTA I408                                      UVIS Corrector Focus Status                        -
  IUINNSTA I409                                      UVIS Corrector Inner Status                        -
  IUOUTSTA I410                                      UVIS Corrector Outer Status                        -
  IUINNOVR I411                           UVIS Corrector Inner Overheat Override                        -
  IUOUTOVR I412                                            UVIS Out Ovrht Ovrrde                        -
  IUFOCOHT I413                                              UVIS Focus Overheat                        -
  IUFOCOVR I414                                     UVIS Focus Overheat Override                        -
  IUFOCINI I415                                      UVIS Focus Corrector Status                        -
  IUOUTINI I416                                      UVIS Outer Corrector Status                        -
  IUINNINI I417                            UVIS Corrector Inner Corrector Status                        -
  IUFOCRLY I418 UVIS Focus Linear Variable Differential Transformer (LVDT) Relay                        -
  IUOUTRES I419                                              UVIS Outer Resolver                 Position
  IUFOCLVT I420       UVIS Focus Linear Variable Differential Transformer (LVDT)         Raw LVDT Reading
